1427, 2240, 1999
1609, 2275, 2225
1633, 2303, 2448
1746, 2288, 2851
1729, 2190, 3186
1868, 2247, 3257
1953, 2323, 3172
1966, 2374, 3006
1799, 2351, 2807
1675, 2352, 2717
1660, 2408, 2526
1623, 2458, 2225
1546, 2426, 2031
1330, 2302, 1911
1263, 2105, 1831
1292, 2067, 1856
1326, 2109, 1970
1388, 2247, 2070
1497, 2364, 2176
1670, 2361, 2401
1764, 2262, 2815
1919, 2341, 3121
1872, 2358, 3165
1910, 2384, 3006
2031, 2495, 3025
1936, 2443, 2907
1809, 2404, 2864
1521, 2298, 2529
1606, 2399, 2402
1437, 2361, 2238
1361, 2352, 2068
1290, 2278, 1982
1282, 2186, 1963
1287, 2131, 2086
1409, 2198, 2176
1650, 2310, 2281
1723, 2337, 2510
1775, 2226, 2677
2059, 2029, 2590
1838, 2283, 2890
1847, 2411, 2839
1771, 2311, 2727
1582, 2241, 2644
1625, 2377, 2634
1438, 2321, 2340
1408, 2282, 2281
1329, 2241, 2159
1255, 2081, 2090
1281, 1979, 2089
1450, 2133, 2057
1574, 2303, 2140
1639, 2277, 2321
1721, 2183, 2514
1797, 1953, 2834
1898, 1967, 3293
2095, 2162, 3279
2311, 2320, 3199
2113, 2317, 2941
1810, 2256, 2731
1609, 2245, 2620
1708, 2331, 2358
1577, 2193, 2159
1392, 2096, 1933
1424, 2039, 1889
1534, 2108, 1881
1599, 2195, 1907
1577, 2219, 1917
1667, 2265, 2128
1627, 2144, 2066
1893, 2252, 2320
1999, 2189, 2612
1963, 2076, 2961
2059, 2146, 3142
2117, 2243, 3254
2202, 2305, 3141
2118, 2227, 2988
1869, 2101, 2832
1808, 2145, 2671
1813, 2326, 2390
1708, 2330, 2203
1589, 2119, 2028
1351, 1987, 1808
1319, 1934, 1744
1371, 1965, 1726
1433, 2066, 1872
1501, 2147, 2096
1709, 2243, 2363
1927, 2145, 2517
1898, 2070, 2931
1807, 2032, 2998
2010, 2238, 3309
2042, 2266, 3386
2091, 2263, 3281
1935, 2277, 3090
1827, 2186, 2861
1702, 2242, 2677
1648, 2305, 2371
1632, 2247, 2091
1410, 2071, 1904
1201, 1897, 1858
1300, 1814, 1866
1481, 1971, 1892
1549, 2128, 2037
1609, 2160, 2202
1749, 2162, 2467
1879, 2054, 2544
1870, 1994, 2822
2035, 2256, 3207
2059, 2204, 3190
2186, 2319, 3329
2126, 2203, 3181
2010, 2198, 3009
1831, 2174, 2852
1822, 2207, 2643
1758, 2234, 2435
1673, 2219, 2228
1600, 2119, 2032
1397, 1959, 1951
1344, 1769, 1922
1491, 1778, 1934
1648, 1950, 2019
1535, 2047, 2122
1559, 2079, 2275
1734, 2039, 2478
1859, 1971, 2839
1974, 2004, 3078
2064, 2273, 3203
2131, 2412, 3153
2054, 2320, 2960
1903, 2155, 2815
1773, 2149, 2697
1667, 2239, 2544
1650, 2192, 2414
1499, 2177, 2221
1458, 2111, 2115
1359, 1924, 2017
1226, 1875, 1970
1373, 1893, 1903
1488, 2066, 2027
1458, 2213, 2288
1664, 2340, 2361
1767, 2255, 2474
1870, 2298, 2711
1938, 2298, 2906
1910, 2192, 3063
1893, 2202, 3077
1983, 2257, 2982
1930, 2192, 2873
1810, 2118, 2755
1739, 2160, 2576
1660, 2160, 2443
1594, 2158, 2322
1601, 2145, 2237
1507, 2114, 2103
1451, 2072, 2038
1410, 2085, 1998
1430, 2094, 1997
1479, 2128, 2001
1461, 2224, 2101
1499, 2129, 2215
1526, 1984, 2327
1577, 2030, 2438
1513, 2047, 2675
1545, 2078, 2857
1639, 2194, 3056
1680, 2156, 3207
1735, 2326, 3210
1931, 2353, 2957
1851, 2272, 2785
1638, 2284, 2601
1520, 2320, 2380
1433, 2262, 2160
1442, 2242, 1967
1445, 2039, 1795
1286, 1982, 1760
1291, 2019, 1775
1373, 2221, 1875
1385, 2295, 2064
1526, 2170, 2178
1575, 2094, 2390
1607, 2119, 2652
1638, 2099, 2863
1658, 2222, 3024
1728, 2323, 3141
1775, 2413, 3115
1834, 2322, 2951
1701, 2224, 2755
1523, 2255, 2625
1458, 2331, 2527
1425, 2320, 2333
1525, 2264, 2192
1423, 2155, 2079
1338, 2091, 2042
1262, 2087, 2007
1303, 2150, 2047
1414, 2273, 2130
1556, 2370, 2176
1513, 2331, 2230
1614, 2345, 2276
1660, 2315, 2363
