1857, 2470, 1378
1873, 2391, 1566
1818, 2294, 1701
1791, 2243, 1946
1671, 2273, 2298
1460, 2322, 2576
1325, 2372, 2840
1229, 2316, 3204
1063, 2234, 3597
986, 2128, 3924
1038, 2069, 3882
1127, 2077, 3555
1326, 2107, 3140
1477, 2170, 2855
1587, 2178, 2627
1690, 2175, 2576
1712, 2169, 2254
1899, 2180, 2000
2029, 2240, 1709
2021, 2343, 1481
1981, 2486, 1376
1972, 2522, 1353
1959, 2463, 1420
1920, 2367, 1648
1773, 2302, 1808
1712, 2308, 2054
1589, 2445, 2384
1473, 2512, 2681
1360, 2544, 3126
1174, 2453, 3506
1159, 2278, 3787
1178, 2141, 3834
1258, 2142, 3581
1356, 2167, 3264
1489, 2213, 2942
1622, 2211, 2694
1786, 2193, 2478
1807, 2204, 2247
2032, 2271, 2063
2160, 2341, 1697
2255, 2352, 1411
2199, 2353, 1243
2109, 2447, 1202
2001, 2533, 1343
1917, 2515, 1561
1948, 2405, 1697
1895, 2345, 1999
1739, 2363, 2352
1595, 2469, 2762
1426, 2653, 3200
1392, 2683, 3538
1486, 2551, 3582
1488, 2397, 3507
1392, 2367, 3362
1426, 2429, 3114
1525, 2507, 2931
1534, 2585, 2701
1597, 2599, 2597
1663, 2451, 2410
1738, 2383, 2277
1815, 2307, 2218
1842, 2271, 2193
1899, 2342, 2129
1970, 2434, 2027
2027, 2488, 1988
2079, 2394, 1919
2080, 2330, 1945
2038, 2390, 1957
1971, 2389, 2127
1922, 2345, 2414
1872, 2228, 2702
1802, 2205, 2987
1808, 2224, 3137
1905, 2257, 3083
1968, 2234, 2906
1978, 2205, 2630
2002, 2242, 2368
1924, 2406, 2128
2085, 2470, 1859
2041, 2437, 1680
1927, 2367, 1647
1783, 2409, 1646
1786, 2515, 1615
1819, 2486, 1600
1792, 2406, 1667
1729, 2389, 1803
1631, 2438, 2035
1478, 2552, 2397
1377, 2639, 2799
1184, 2598, 3402
1043, 2403, 4015
1154, 2188, 4043
1229, 2103, 3760
1299, 2151, 3385
1383, 2235, 3046
1489, 2281, 2735
1650, 2303, 2499
1812, 2302, 2215
1947, 2259, 2041
1936, 2230, 1890
1953, 2229, 1776
1961, 2273, 1616
2061, 2374, 1392
2135, 2510, 1227
2062, 2606, 1170
1913, 2567, 1455
1735, 2416, 1787
1553, 2370, 2171
1335, 2434, 2559
1217, 2463, 2929
1081, 2390, 3282
1011, 2214, 3577
1004, 2093, 3802
994, 2031, 3825
1134, 2015, 3557
1281, 2058, 3294
1387, 2131, 3019
1473, 2177, 2758
1602, 2223, 2578
1729, 2283, 2306
1923, 2298, 2047
1919, 2247, 1804
1862, 2232, 1553
1918, 2415, 1429
2030, 2633, 1351
2063, 2601, 1398
1904, 2485, 1617
1757, 2324, 1839
1711, 2278, 2069
1562, 2343, 2288
1486, 2396, 2613
1318, 2385, 2910
1200, 2223, 3314
1110, 2032, 3764
1111, 1907, 3913
1174, 1919, 3701
1303, 2058, 3369
1443, 2156, 3024
1501, 2224, 2719
1614, 2293, 2436
1793, 2282, 2096
1913, 2322, 1793
1923, 2416, 1600
1853, 2503, 1456
1861, 2543, 1467
1908, 2489, 1471
1919, 2389, 1510
1823, 2327, 1608
1665, 2355, 1818
1596, 2397, 2066
1477, 2403, 2479
1295, 2384, 2843
1239, 2288, 3243
1157, 2202, 3845
1169, 2115, 4017
1302, 2032, 3812
1423, 2044, 3505
1492, 2092, 3263
1506, 2139, 2954
1666, 2170, 2555
1772, 2231, 2163
1873, 2210, 1767
1844, 2255, 1477
1840, 2368, 1368
1871, 2498, 1379
1884, 2480, 1559
1918, 2256, 1807
1855, 2119, 1936
1797, 2174, 2005
1754, 2272, 2179
1658, 2323, 2512
1507, 2251, 2954
1339, 2122, 3354
1314, 1969, 3600
1410, 1910, 3664
1410, 1959, 3533
1527, 2000, 3281
1511, 2031, 2992
1629, 2061, 2666
1877, 2112, 2235
1979, 2201, 1805
2017, 2231, 1573
1856, 2243, 1519
1744, 2255, 1595
1904, 2308, 1739
2032, 2247, 1870
1997, 2128, 1953
1905, 2110, 2083
1801, 2176, 2211
1776, 2177, 2392
1704, 2129, 2736
1501, 2072, 3120
1478, 1969, 3481
1465, 1913, 3632
1520, 1872, 3519
1616, 1869, 3332
1728, 1874, 3056
1702, 1941, 2794
1797, 2115, 2490
1930, 2187, 2081
