1579, 2015, 4095
1637, 2035, 3856
1727, 2074, 3346
1842, 2098, 2757
1872, 2103, 2064
1840, 2038, 1323
1816, 1946, 667
1735, 1881, 220
1635, 1920, 0
1760, 1954, 231
1968, 2064, 634
2161, 2169, 1038
2371, 2204, 1936
2322, 2190, 3375
1808, 1986, 4095
1482, 1975, 4095
1387, 2003, 4095
1446, 1995, 4095
1515, 1937, 4095
1571, 1979, 4095
1578, 2053, 3954
1606, 2144, 3342
1747, 2123, 2877
1794, 2213, 2282
1744, 2177, 1598
1738, 2149, 870
1776, 2005, 400
1727, 2002, 142
1747, 2090, 399
1788, 2169, 823
2013, 2195, 1326
2243, 2176, 2129
2453, 1996, 3353
2079, 1947, 4095
1771, 1984, 4095
1594, 2061, 4095
1533, 2061, 4095
1744, 2059, 4095
1704, 2091, 3923
1691, 2130, 3434
1738, 2158, 3005
1756, 2137, 2640
1744, 2137, 1999
1746, 2160, 1117
1712, 2112, 617
1605, 2096, 447
1553, 2195, 527
1664, 2192, 884
1921, 2217, 1163
2187, 2237, 1638
2559, 2005, 2698
2423, 1924, 4095
2064, 1872, 4095
1797, 2038, 4095
1795, 2078, 4095
1872, 2064, 4095
1914, 1990, 4095
1831, 2047, 3741
1808, 2100, 3318
1804, 2112, 2969
1850, 2161, 2493
1872, 2106, 2095
1873, 2096, 1619
1833, 2078, 1099
1719, 2069, 727
1535, 2158, 576
1617, 2158, 646
1850, 2162, 983
2342, 2004, 1745
2672, 1808, 2727
2581, 1774, 4095
2032, 1891, 4095
1678, 2064, 4095
1587, 2179, 4095
1664, 2166, 3890
1776, 2057, 3461
1765, 2062, 3211
1690, 2107, 2992
1701, 2111, 2704
1755, 2111, 2430
1789, 2083, 2066
1825, 2022, 1588
1695, 2037, 1137
1619, 2023, 854
1622, 2061, 800
1766, 2001, 957
1840, 2025, 1110
1997, 2055, 1249
2403, 1931, 1691
2622, 1855, 2283
2592, 1837, 3234
2166, 1885, 4095
1743, 1951, 4095
1377, 2135, 4095
1382, 2214, 4095
1587, 2179, 4039
1725, 2122, 3525
1798, 2097, 3201
1847, 2045, 2992
1838, 2075, 2651
1851, 2073, 2313
1800, 2126, 1878
1744, 2054, 1446
1713, 1983, 933
1590, 2032, 837
1647, 2041, 903
1757, 2032, 1088
1957, 1947, 1241
2154, 1943, 1389
2378, 1855, 1728
2438, 1840, 2529
2157, 1889, 3558
1811, 1954, 4095
1593, 1987, 4095
1487, 2114, 4095
1523, 2190, 4095
1616, 2237, 3877
1681, 2212, 3489
1799, 2148, 3293
1873, 2070, 3175
1970, 2034, 2838
2032, 2007, 2519
2005, 2000, 2124
1965, 1953, 1591
1847, 1945, 1099
1780, 1899, 745
1715, 1859, 703
1742, 1903, 880
1914, 1851, 1023
2275, 1731, 1282
2643, 1607, 1801
2781, 1488, 2393
2614, 1648, 3081
2341, 1725, 3859
2075, 1877, 3944
1866, 2101, 3909
1904, 2010, 3946
1907, 1919, 4095
1744, 2042, 3778
1578, 2130, 3323
1322, 2297, 2986
1206, 2352, 2714
1063, 2337, 2351
1005, 2305, 2042
982, 2265, 1749
880, 2241, 1586
915, 2220, 1532
1151, 2123, 1450
1379, 2080, 1459
1655, 2007, 1712
1794, 1971, 1942
1995, 1958, 2189
2256, 1904, 2427
2450, 1871, 2832
2582, 1833, 3262
2443, 1891, 3779
2207, 2000, 4095
2034, 2073, 3949
1951, 2082, 3397
1767, 2123, 2974
1741, 2119, 2503
1712, 2047, 2185
1574, 2033, 1859
1505, 2003, 1681
1392, 2029, 1553
1289, 2032, 1565
1315, 1962, 1595
1483, 1895, 1745
1721, 1779, 1848
1808, 1843, 1873
1809, 1927, 1997
1776, 2099, 2190
2096, 1957, 2474
2301, 1918, 2960
2378, 1887, 3637
2351, 1893, 4095
2235, 1905, 4095
2016, 1963, 4095
1862, 2009, 3804
1734, 2079, 3266
1663, 2124, 2834
1661, 2066, 2418
1610, 1975, 2000
1586, 1946, 1714
1371, 1966, 1569
1227, 2019, 1271
1264, 1958, 1186
1361, 1927, 1236
1462, 1969, 1258
1591, 2011, 1269
1904, 2033, 1552
2162, 1947, 2237
2416, 1851, 3065
2485, 1873, 4095
2240, 1936, 4095
2069, 2039, 4095
2063, 2116, 4095
2128, 2001, 4095
2085, 1986, 4095
2014, 1979, 3593
