1776, 1774, 1744
1807, 1808, 1531
1859, 1822, 1328
1813, 1820, 1102
1713, 1875, 868
1637, 1859, 826
1711, 1831, 1151
1717, 1779, 1428
1796, 1775, 1678
1883, 1776, 1847
1905, 1865, 2010
1926, 1955, 2355
1926, 1908, 3021
1856, 1882, 4095
1776, 1687, 4095
1686, 1567, 4095
1627, 1574, 4095
1498, 1702, 4095
1392, 1885, 4095
1423, 1929, 3563
1488, 1968, 2992
1344, 1989, 2622
1392, 2037, 2355
1534, 1995, 2086
1624, 1987, 1830
1712, 1984, 1570
1690, 1951, 1264
1618, 1915, 948
1615, 1921, 717
1591, 1924, 696
1777, 1877, 890
1840, 1773, 1212
1893, 1722, 1432
1975, 1779, 1493
2096, 1829, 1744
2138, 1837, 2112
2146, 1825, 2527
2098, 1712, 3177
2039, 1562, 3794
1872, 1523, 4095
1645, 1470, 4095
1355, 1562, 4095
1089, 1639, 4095
957, 1679, 4095
944, 1792, 3522
970, 1874, 3139
1118, 1901, 2893
1285, 1918, 2722
1440, 1941, 2558
1552, 1950, 2389
1626, 1959, 2206
1650, 1942, 2009
1673, 1970, 1854
1823, 1984, 1598
1970, 1971, 1248
2160, 1867, 1072
2170, 1813, 1043
2141, 1802, 1230
2114, 1789, 1471
2105, 1829, 1708
2107, 1921, 1875
2042, 1955, 2162
1891, 1955, 2516
1601, 2003, 2883
1228, 2065, 3280
971, 1950, 3932
880, 1833, 4095
827, 1726, 4095
799, 1758, 4095
833, 1862, 4095
1090, 1926, 3854
1360, 1998, 3216
1535, 2002, 2738
1697, 2046, 2390
1903, 1943, 2150
2065, 1865, 1914
2121, 1813, 1665
2110, 1798, 1439
2099, 1728, 1047
2085, 1726, 784
2061, 1680, 843
2085, 1622, 944
2119, 1657, 1163
2006, 1696, 1328
1805, 1851, 1571
1584, 1933, 1782
1483, 2020, 1987
1505, 2096, 2306
1510, 1954, 2910
1223, 1765, 3698
886, 1577, 4095
677, 1573, 4095
624, 1562, 4095
613, 1562, 4095
618, 1625, 4095
658, 1723, 3696
797, 1740, 3264
1044, 1751, 2980
1423, 1779, 2698
1790, 1808, 2394
1935, 1791, 2138
1866, 1914, 1783
1883, 1943, 1381
1926, 1895, 993
1925, 1875, 816
1906, 1894, 816
1858, 1859, 1039
1855, 1788, 1243
1909, 1795, 1403
1895, 1767, 1630
1809, 1808, 1808
1678, 1845, 2099
1622, 1859, 2447
1658, 1814, 2919
1616, 1725, 3568
1468, 1574, 4095
1168, 1407, 4095
916, 1327, 4095
819, 1463, 4095
659, 1694, 4095
715, 1823, 3711
895, 1935, 3149
1309, 1983, 2523
1712, 1998, 2100
1837, 1890, 1901
2022, 1809, 1685
1975, 1769, 1473
1748, 1790, 1222
1607, 1847, 1030
1620, 1835, 938
1709, 1839, 912
1856, 1819, 982
1922, 1817, 1143
1893, 1858, 1501
1949, 1840, 1874
2032, 1855, 2364
1975, 1831, 2973
1968, 1835, 3478
1958, 1799, 4095
1791, 1753, 4095
1605, 1681, 4095
1461, 1747, 4095
1376, 1833, 4095
1342, 1927, 3967
1409, 1998, 3198
1519, 2016, 2768
1600, 1945, 2533
1712, 1893, 2306
1841, 1827, 2043
1936, 1803, 1711
1873, 1869, 1248
1813, 1911, 725
1734, 1947, 496
1671, 1963, 614
1712, 1906, 911
1902, 1822, 1282
2035, 1799, 1527
2163, 1862, 1904
2090, 1883, 2454
1879, 1953, 2914
1921, 1840, 3468
1845, 1712, 4095
1703, 1563, 4095
1600, 1450, 4095
1600, 1464, 4095
1567, 1589, 4095
1497, 1712, 4095
1519, 1898, 3447
1728, 1930, 2800
1951, 1809, 2202
2181, 1807, 1614
2266, 1821, 1187
2123, 1727, 1135
1869, 1847, 1133
1643, 1901, 1038
1584, 1930, 1040
1957, 1936, 1076
2132, 1907, 1287
2338, 1868, 1643
2391, 1875, 2045
2299, 1877, 2333
2181, 1905, 2730
1943, 1940, 3227
1618, 1931, 3664
1360, 1898, 4080
1265, 1733, 4095
1281, 1612, 4095
1351, 1584, 4095
1319, 1647, 4095
1407, 1744, 4079
1495, 1802, 3482
1664, 1888, 2838
1805, 1998, 2087
1868, 1953, 1324
1927, 1871, 837
1959, 1749, 602
2111, 1709, 448
2240, 1651, 592
2379, 1687, 923
2489, 1778, 1281
