2463, 2210, 4095
2373, 2032, 4095
2309, 1939, 4095
2192, 1918, 4095
2130, 1877, 3920
2029, 1893, 3079
1919, 1893, 2515
1868, 1883, 2222
1788, 1904, 2093
1648, 1936, 1991
1485, 1979, 1887
1376, 2002, 1686
1301, 1999, 1543
1274, 1998, 1443
1331, 1939, 1328
1376, 1919, 1286
1373, 1904, 1307
1454, 1903, 1327
1614, 1907, 1572
1718, 1998, 1697
1939, 2064, 2148
2287, 2197, 2800
2576, 2201, 4037
2741, 2098, 4095
2726, 2015, 4095
2559, 1954, 4095
2326, 1973, 4095
2217, 1938, 3520
2128, 1917, 3004
1993, 1938, 2670
1923, 1945, 2487
1869, 1968, 2380
1751, 1979, 2201
1584, 1996, 1961
1381, 2011, 1699
1230, 2017, 1507
1353, 1931, 1425
1550, 1899, 1525
1521, 1926, 1419
1531, 1956, 1365
1517, 1943, 1492
1574, 1996, 1662
1639, 2131, 1973
1757, 2256, 2341
1984, 2335, 3099
2141, 2418, 4095
2227, 2434, 4095
2318, 2384, 4095
2319, 2275, 4095
2217, 2195, 4035
2192, 2119, 3228
2091, 2009, 2793
2032, 1968, 2393
1900, 1935, 2096
1742, 1968, 1939
1535, 1968, 1853
1579, 2000, 1835
1654, 1949, 1869
1519, 1947, 1745
1306, 1971, 1520
1232, 1958, 1365
1211, 1959, 1363
1607, 1871, 1615
1697, 1979, 1583
1719, 2094, 1856
1914, 2188, 2303
2143, 2279, 2885
2316, 2313, 3711
2413, 2297, 4095
2457, 2205, 4095
2384, 2096, 4095
2315, 2006, 4095
2205, 1952, 3453
2130, 1872, 2926
2043, 1842, 2594
1936, 1832, 2319
1840, 1844, 2142
1712, 1866, 1977
1517, 1882, 1843
1390, 1905, 1715
1341, 1877, 1584
1349, 1893, 1519
1358, 1910, 1490
1326, 1952, 1593
1333, 1938, 1658
1492, 1968, 1794
1670, 2047, 1912
1910, 2041, 2262
2161, 2101, 2765
2420, 2141, 3613
2519, 2128, 4095
2543, 2063, 4095
2391, 1939, 4095
2288, 1906, 4095
2256, 1841, 3453
2181, 1793, 2864
2032, 1809, 2355
1952, 1789, 2081
1843, 1789, 1906
1703, 1817, 1749
1582, 1855, 1578
1441, 1875, 1392
1302, 1837, 1343
1235, 1841, 1164
1258, 1806, 1101
1330, 1844, 1133
1426, 1913, 1361
1630, 2000, 1728
1731, 2175, 1955
1984, 2254, 2678
2213, 2368, 3402
2429, 2355, 4095
2586, 2283, 4095
2690, 2218, 4095
2639, 2105, 4095
2448, 2067, 4095
2299, 1983, 3507
2211, 1920, 2927
2086, 1863, 2494
1906, 1835, 2238
1807, 1831, 2064
1655, 1840, 1930
1507, 1856, 1763
1462, 1904, 1554
1376, 1890, 1435
1315, 1920, 1185
1535, 1865, 1121
1601, 1947, 1431
1552, 2077, 1759
1636, 2082, 2027
1626, 2217, 2255
1712, 2223, 2863
1857, 2273, 3218
2011, 2292, 3870
2167, 2244, 4095
2192, 2143, 4095
2075, 2081, 4095
2005, 2002, 3376
1920, 1922, 2790
1927, 1871, 2399
1826, 1825, 2147
1703, 1860, 1920
1574, 1871, 1777
1511, 1850, 1659
1487, 1854, 1469
1489, 1860, 1366
1529, 1851, 1259
1626, 1851, 1211
1690, 1967, 1251
1762, 2123, 1731
1771, 2235, 2478
1743, 2272, 3259
1806, 2224, 4095
1853, 2189, 4095
1923, 2061, 4095
2005, 1989, 4095
1979, 1853, 4095
1970, 1813, 3374
1959, 1767, 2879
1913, 1787, 2509
1869, 1795, 2251
1827, 1814, 2119
1789, 1853, 1994
1755, 1883, 1807
1659, 1919, 1531
1625, 1949, 1371
1584, 1974, 1457
1425, 2021, 1610
1311, 2078, 1734
1344, 2082, 1847
1383, 2071, 1985
1535, 2064, 2350
1490, 2097, 2751
1611, 2073, 3354
1795, 1979, 4095
1934, 1873, 4095
1969, 1806, 4095
1975, 1713, 3828
1966, 1708, 3182
1997, 1687, 2750
1942, 1717, 2321
1915, 1741, 2055
1872, 1772, 1873
1835, 1770, 1675
1729, 1759, 1495
1675, 1779, 1339
1566, 1826, 1198
1549, 1855, 1141
1583, 1948, 1197
1706, 2112, 1678
1879, 2065, 2189
1851, 2028, 2491
1712, 2084, 2643
1642, 2095, 3001
1813, 2013, 3979
1959, 1915, 4095
2047, 1798, 4095
1990, 1776, 4095
1873, 1765, 4095
1765, 1761, 3621
