1738, 2009, 2192
1586, 2028, 1978
1401, 2039, 1660
1199, 2081, 1435
1168, 2115, 1440
1324, 1995, 1392
1347, 1904, 1378
1219, 1987, 1181
1323, 1914, 1150
1389, 1904, 1133
1712, 1931, 1336
1703, 2194, 1575
1861, 2413, 2099
2143, 2478, 3013
2288, 2463, 4095
2475, 2273, 4095
2357, 2091, 4095
2221, 2041, 4095
2061, 2032, 4095
1937, 1983, 3623
1949, 1954, 2934
1898, 1937, 2533
1867, 1946, 2305
1744, 1955, 2137
1549, 1967, 1958
1348, 1988, 1746
1156, 2082, 1567
1151, 2075, 1563
1302, 1952, 1607
1355, 1901, 1550
1356, 1906, 1397
1321, 1948, 1327
1294, 1965, 1303
1381, 2004, 1503
1698, 2064, 1744
1759, 2240, 2078
1967, 2339, 2823
2066, 2320, 4095
2299, 2128, 4095
2277, 1974, 4095
2133, 1879, 4095
2005, 1951, 4095
1926, 1957, 3483
1899, 1909, 2843
1959, 1893, 2495
1931, 1900, 2219
1833, 1934, 2003
1698, 1981, 1793
1457, 2021, 1628
1264, 2085, 1493
1193, 2097, 1495
1315, 1989, 1530
1351, 1933, 1456
1323, 1969, 1425
1248, 1983, 1296
1196, 2006, 1245
1296, 2021, 1381
1579, 2045, 1387
1706, 2211, 1552
1921, 2346, 2198
2173, 2397, 3392
2272, 2174, 4095
2229, 1879, 4095
2021, 1777, 4095
1999, 1811, 4095
1811, 1883, 4095
1824, 1872, 3608
1946, 1858, 2870
1961, 1909, 2497
1888, 1946, 2224
1836, 1927, 2112
1753, 1981, 1998
1581, 1982, 1900
1328, 2030, 1729
1136, 2118, 1518
1058, 2135, 1415
1111, 2108, 1360
1365, 1968, 1302
1351, 1969, 1136
1264, 2002, 1067
1381, 2068, 1108
1583, 2071, 1339
1771, 2254, 1493
1872, 2337, 2127
2081, 2282, 3178
2256, 2256, 4095
2213, 1979, 4095
1954, 1710, 4095
1820, 1664, 4095
1746, 1802, 4095
1858, 1884, 3538
2008, 1817, 2868
2008, 1843, 2554
1872, 1903, 2257
1785, 1949, 2147
1725, 1975, 2026
1636, 1985, 1971
1483, 2033, 1861
1233, 2085, 1730
1072, 2158, 1552
1057, 2147, 1566
1242, 2023, 1520
1257, 2027, 1329
1191, 2026, 1232
1206, 2063, 1202
1409, 2030, 1281
1682, 2117, 1647
1910, 2160, 2065
1986, 2192, 2666
2245, 2111, 3832
2433, 1938, 4095
2441, 1767, 4095
2365, 1637, 4095
2290, 1623, 4095
2064, 1764, 4003
2064, 1791, 3078
2110, 1806, 2647
2083, 1835, 2374
1936, 1904, 2187
1843, 1929, 2085
1746, 1968, 1973
1547, 2039, 1799
1247, 2112, 1601
1008, 2174, 1520
1117, 2069, 1584
1174, 2038, 1650
1198, 2081, 1431
1183, 2055, 1338
1182, 2085, 1280
1251, 2113, 1289
1585, 2143, 1503
1634, 2229, 1577
1857, 2343, 2037
2118, 2365, 2794
2407, 2179, 4095
2510, 1984, 4095
2290, 1710, 4095
2098, 1581, 4095
1933, 1683, 4095
1895, 1783, 3785
1936, 1796, 2963
1915, 1829, 2544
1857, 1904, 2262
1786, 1884, 2101
1744, 1911, 2038
1680, 1924, 2014
1551, 1981, 1914
1337, 2014, 1779
1200, 2043, 1659
1115, 2055, 1581
1168, 2026, 1507
1285, 1977, 1400
1357, 1959, 1269
1478, 1904, 1350
1573, 1991, 1259
1718, 2039, 1489
1809, 2089, 2039
2087, 2070, 2823
2291, 1933, 3917
2547, 1745, 4095
2465, 1563, 4095
2325, 1515, 4095
2110, 1653, 4095
2067, 1767, 3854
2013, 1852, 3005
1887, 1909, 2618
1778, 1955, 2310
1769, 1962, 2157
1737, 1974, 2082
1641, 2018, 1981
1461, 2046, 1803
1201, 2096, 1552
1103, 2107, 1503
1166, 2043, 1590
1297, 1972, 1511
1359, 1964, 1376
1359, 1948, 1344
1293, 1965, 1243
1402, 1985, 1313
1553, 2016, 1526
1649, 2167, 1727
1903, 2234, 2275
2223, 2258, 2951
2554, 2225, 4095
2709, 2065, 4095
2571, 1947, 4095
2502, 1900, 4095
2261, 1963, 4095
2079, 1962, 3757
1962, 1931, 3088
1927, 1951, 2670
1782, 1953, 2288
1711, 1925, 2146
1674, 1939, 2102
1598, 1968, 2000
1456, 1994, 1840
1306, 2001, 1569
1189, 1968, 1361
1324, 1952, 1386
1489, 1901, 1531
