1938, 1248, 634
2147, 1369, 1008
2517, 1445, 1628
2769, 1488, 2445
2721, 1659, 3344
2337, 1869, 4095
1969, 1935, 4095
1817, 1812, 4095
1872, 1843, 4095
2003, 1867, 4095
2078, 1871, 3332
2077, 1815, 2615
1970, 1706, 1969
1850, 1676, 1370
1712, 1561, 1068
1715, 1698, 621
1619, 1810, 606
1475, 1858, 1058
1468, 1904, 1427
1597, 1853, 1510
1709, 1902, 1605
1961, 1985, 1851
2293, 1850, 2466
2411, 1525, 3577
2363, 1423, 4095
2288, 1450, 4095
2218, 1631, 4095
2193, 1826, 4095
2237, 1889, 3744
2234, 1891, 3022
2137, 1882, 2577
1964, 1888, 2269
1759, 1839, 1913
1683, 1769, 1442
1535, 1761, 1079
1477, 1703, 751
1479, 1662, 559
1600, 1787, 833
1792, 1774, 1142
1970, 1771, 1414
2113, 1814, 1535
2294, 1939, 1771
2491, 1920, 2205
2643, 1794, 2794
2454, 1714, 3691
1740, 1643, 4095
1069, 1441, 4095
933, 1632, 4095
1205, 2032, 4095
1723, 2285, 4095
1987, 2352, 3281
2062, 2322, 2628
1898, 2186, 2401
1787, 2154, 2096
1666, 2064, 1713
1650, 1887, 1223
1669, 1712, 774
1618, 1613, 547
1456, 1711, 554
1424, 1920, 753
1517, 2096, 1089
1727, 2169, 1411
2063, 2160, 1915
2354, 2011, 2432
2464, 1883, 3049
2391, 1804, 3904
2145, 1753, 4095
1671, 1858, 4095
1598, 1986, 4095
1615, 2282, 4095
1877, 2337, 3936
2079, 2370, 2914
2037, 2329, 2499
1815, 2256, 2222
1697, 2215, 1929
1739, 2019, 1535
1728, 1904, 1088
1679, 1857, 802
1614, 1904, 761
1545, 2087, 891
1493, 2246, 1234
1510, 2422, 1435
1766, 2503, 1706
2058, 2421, 2309
2034, 2271, 3312
1674, 2218, 4095
1454, 2096, 4095
1034, 2170, 4095
1168, 2349, 4095
1887, 2347, 4095
2175, 2397, 3789
2173, 2525, 2957
2138, 2302, 2479
2030, 2192, 2288
1940, 1987, 2035
1943, 1872, 1611
1965, 1728, 1087
1952, 1618, 675
1770, 1615, 317
1571, 1770, 275
1584, 2035, 475
1663, 2210, 1003
1847, 2295, 1438
2064, 2350, 1935
2253, 2270, 2519
2251, 2041, 3376
1991, 1835, 4095
1620, 1845, 4095
1121, 1906, 4095
1265, 2112, 4095
1746, 2226, 4095
2190, 2395, 4095
2225, 2379, 3052
2066, 2321, 2667
1945, 2226, 2517
1862, 2128, 2334
1869, 1984, 1931
1938, 1786, 1296
1897, 1680, 747
1718, 1657, 401
1568, 1773, 101
1616, 1949, 202
1818, 2073, 550
2077, 2118, 1040
2304, 2334, 1733
2427, 2246, 2521
2295, 1968, 3562
1840, 1712, 4095
1279, 1786, 4095
915, 1904, 4095
1139, 1918, 4095
1561, 2029, 4095
1791, 2279, 4095
1978, 2336, 3356
2150, 2279, 2944
2196, 2203, 2656
2175, 2099, 2455
2191, 1938, 2022
2221, 1819, 1472
2133, 1661, 947
1936, 1573, 592
1742, 1664, 345
1680, 1845, 464
1779, 1901, 799
1943, 1948, 1234
2170, 1877, 1482
2381, 1874, 1831
2544, 1714, 2303
2640, 1687, 2770
2470, 1806, 3255
2215, 1886, 4095
1861, 1861, 4095
1559, 1873, 4095
1853, 1904, 4095
2221, 2114, 4095
2320, 2362, 4095
2372, 2559, 3151
2289, 2419, 2544
2271, 2350, 2110
2109, 2159, 1485
1999, 1874, 767
1789, 1712, 368
1674, 1553, 240
1522, 1791, 275
1561, 1988, 699
1690, 2019, 1085
1833, 2095, 1362
2078, 2154, 1615
2302, 2225, 1938
2415, 2281, 2471
2418, 2291, 3060
2288, 2242, 4095
1851, 2144, 4095
1535, 1945, 4095
1459, 2204, 4095
1664, 2478, 4095
1985, 2542, 4039
2182, 2601, 2843
2059, 2509, 2365
1859, 2352, 2139
1759, 2239, 1953
1758, 2103, 1737
1798, 1922, 1335
1809, 1813, 909
1789, 1747, 744
1667, 1892, 702
1646, 2046, 752
1779, 2064, 960
1968, 2118, 1195
2361, 2107, 1489
2559, 2090, 2149
2513, 1989, 2682
2238, 1930, 3357
1769, 1872, 4095
1008, 1857, 4095
518, 1904, 4095
754, 2027, 4095
1367, 2171, 4095
1905, 2346, 3736
2067, 2436, 2928
