1682, 2279, 3179
1680, 2246, 3001
1735, 2240, 2730
1840, 2197, 2409
1908, 2135, 2157
1975, 2066, 1933
1999, 1997, 1695
1959, 1968, 1579
1894, 1943, 1445
1821, 1959, 1357
1775, 1946, 1289
1744, 1972, 1291
1745, 2018, 1456
1761, 2147, 1696
1627, 2245, 2181
1617, 2255, 2549
1506, 2232, 3065
1516, 2201, 3684
1561, 2087, 4095
1765, 2026, 4095
1936, 1966, 3914
1983, 1962, 3615
1949, 1980, 3303
1904, 1965, 3143
1931, 1993, 2951
1936, 1958, 2868
1920, 2000, 2575
1936, 1986, 2308
1983, 1953, 2160
1979, 1950, 1854
2043, 1919, 1581
2070, 1888, 1360
2150, 1872, 1255
2160, 1874, 1173
2128, 1909, 1202
2118, 1967, 1371
2054, 2112, 1613
2029, 2218, 1955
1963, 2190, 2387
1862, 2210, 2927
1782, 2176, 3350
1707, 2158, 3741
1657, 2149, 3869
1663, 2159, 3735
1747, 2147, 3455
1846, 2160, 3264
1909, 2103, 3086
1871, 2103, 2992
1858, 2117, 2863
1904, 2115, 2687
1965, 2087, 2471
2011, 2055, 2277
2064, 2021, 2098
2096, 1979, 1930
2107, 1968, 1774
2077, 1968, 1648
2015, 1986, 1551
1957, 2005, 1469
1921, 2065, 1449
1904, 2091, 1601
1893, 2134, 1795
1854, 2223, 2096
1786, 2205, 2494
1744, 2178, 2861
1726, 2182, 3139
1677, 2178, 3423
1626, 2177, 3553
1584, 2178, 3667
1661, 2150, 3632
1718, 2143, 3427
1755, 2138, 3279
1757, 2136, 3147
1766, 2138, 3061
1770, 2117, 2877
1823, 2123, 2622
1895, 2097, 2387
1946, 2071, 2129
1990, 2063, 1872
1995, 2019, 1616
1982, 1990, 1403
1934, 2002, 1328
1852, 2035, 1278
1851, 2042, 1280
1862, 2079, 1381
1873, 2128, 1662
1904, 2181, 1968
1872, 2186, 2341
1809, 2165, 2783
1696, 2175, 3107
1663, 2122, 3627
1616, 2044, 3924
1681, 2009, 4030
1724, 1971, 4076
1774, 1961, 3890
1808, 1959, 3643
1821, 1950, 3465
1831, 1951, 3184
1887, 1998, 3001
1953, 2032, 2695
2026, 2023, 2441
2112, 2015, 2181
2096, 2030, 1882
2057, 2013, 1631
1918, 2019, 1296
1803, 2019, 1062
1754, 2046, 850
1706, 2097, 731
1744, 2070, 874
1810, 2149, 1079
1963, 2224, 1470
1946, 2338, 1889
1870, 2320, 2530
1734, 2266, 3339
1679, 2128, 4079
1706, 1921, 4095
1757, 1863, 4095
1854, 1837, 4095
1895, 1843, 4095
1910, 1904, 3995
1904, 1862, 3787
1903, 1935, 3472
1853, 2014, 3039
1959, 2021, 2879
2096, 2033, 2557
2203, 2026, 2319
2235, 2015, 2026
2147, 2015, 1667
1938, 2039, 1378
1744, 2081, 1083
1419, 2241, 786
1575, 2082, 874
1757, 1983, 1080
1793, 2130, 1232
1785, 2181, 1424
1776, 2289, 1735
1795, 2347, 2237
1738, 2362, 2791
1795, 2325, 3427
1812, 2245, 4095
1854, 2128, 4095
1882, 2078, 4095
1873, 2086, 4095
1814, 2090, 4095
1791, 2110, 3808
1786, 2112, 3475
1853, 2104, 3215
1836, 2146, 2963
1891, 2151, 2703
1973, 2161, 2415
1935, 2122, 2107
1825, 2134, 1758
1715, 2128, 1366
1666, 2126, 999
1595, 2131, 660
1824, 1908, 720
1941, 1897, 741
2029, 1904, 845
2102, 2064, 1136
2178, 2158, 1711
2226, 2238, 2062
2208, 2225, 2654
2158, 2160, 3136
1983, 2202, 3869
1854, 2096, 4095
1915, 1986, 4095
1973, 1881, 4095
2054, 1815, 4095
2017, 1869, 4016
1970, 1977, 3793
1914, 2039, 3169
1929, 2021, 2926
1995, 2030, 2693
2085, 2023, 2452
2119, 2000, 2096
2079, 1983, 1731
1908, 1991, 1345
1793, 2012, 993
1750, 2055, 822
1717, 1985, 700
1858, 1904, 723
1970, 1872, 785
2027, 1909, 976
2101, 2046, 1339
2122, 2259, 1686
2175, 2256, 2297
2205, 2160, 2970
2160, 2138, 4029
2093, 1952, 4095
2149, 1773, 4095
2227, 1706, 4095
2192, 1770, 4095
2061, 1886, 4095
1983, 1959, 3780
1867, 2042, 3275
1821, 2067, 3071
1860, 2086, 2893
2019, 2130, 2644
2128, 2096, 2258
2151, 2100, 1936
1995, 2079, 1506
