2344, 2305, 4095
2421, 2151, 4095
2320, 2135, 4095
2267, 2079, 4095
2122, 2006, 4021
2112, 1910, 3234
2096, 1879, 2623
2037, 1837, 2231
1921, 1870, 1981
1739, 1872, 1875
1523, 1915, 1725
1279, 1973, 1518
1174, 1978, 1505
1230, 1865, 1498
1222, 1840, 1332
1143, 1883, 1136
1227, 1872, 1043
1491, 1831, 1373
1651, 2011, 1808
1933, 2209, 2480
2092, 2325, 3109
2276, 2269, 4095
2366, 2219, 4095
2463, 2169, 4095
2366, 2129, 4095
2238, 2026, 4095
2154, 1982, 3578
2106, 1881, 2910
1968, 1860, 2416
1869, 1847, 2083
1696, 1893, 1858
1520, 1914, 1679
1319, 1936, 1489
1435, 1887, 1439
1481, 1853, 1387
1297, 1893, 1200
1200, 1933, 1063
1173, 1963, 1106
1620, 1920, 1440
1757, 2099, 1726
1895, 2220, 2327
1966, 2448, 2699
2177, 2395, 3993
2217, 2341, 4095
2149, 2233, 4095
2077, 2138, 4095
1978, 2096, 4095
2023, 1991, 3787
1907, 1936, 3025
1861, 1872, 2544
1775, 1874, 2171
1637, 1891, 1921
1505, 1930, 1791
1407, 1954, 1671
1301, 1958, 1553
1307, 1888, 1466
1281, 1886, 1314
1282, 1904, 1247
1379, 1915, 1217
1477, 1963, 1293
1837, 2096, 1894
1887, 2246, 2386
1973, 2314, 3243
2125, 2327, 4095
2096, 2213, 4095
2034, 2083, 4095
2035, 2070, 4095
2027, 2013, 4086
1979, 1936, 3264
1947, 1886, 2722
1953, 1872, 2310
1850, 1898, 2041
1751, 1918, 1893
1535, 1941, 1722
1265, 1969, 1482
1168, 1986, 1415
1209, 1925, 1382
1239, 1951, 1291
1275, 1959, 1232
1356, 1991, 1237
1454, 2054, 1451
1776, 2114, 1862
1834, 2272, 2242
2013, 2287, 3109
2181, 2293, 4095
2179, 2230, 4095
2138, 2087, 4095
2081, 2028, 4095
2035, 1982, 4095
2096, 1924, 3498
2029, 1881, 2823
1970, 1856, 2357
1934, 1872, 2047
1774, 1923, 1843
1592, 1951, 1664
1323, 1991, 1518
1123, 2014, 1473
1134, 1945, 1558
1054, 1994, 1469
1074, 1993, 1413
1202, 2000, 1438
1258, 2033, 1417
1550, 2029, 1670
1631, 2110, 1839
1817, 2178, 2320
2112, 2255, 3232
2261, 2198, 4095
2291, 2061, 4095
2219, 1878, 4095
2169, 1899, 4095
2213, 1883, 4095
2170, 1822, 3483
2153, 1820, 2835
2176, 1865, 2403
2142, 1874, 2221
1950, 1925, 2118
1699, 1968, 1964
1405, 2032, 1690
1119, 2083, 1507
1111, 1972, 1609
1088, 1955, 1593
963, 1979, 1376
931, 2013, 1175
1229, 1903, 1265
1349, 1887, 1435
1471, 1984, 1629
1660, 2166, 1840
2093, 2265, 2647
2435, 2291, 4059
2585, 2231, 4095
2601, 2077, 4095
2530, 1963, 4095
2402, 1904, 4095
2315, 1855, 3551
2267, 1814, 2928
2192, 1840, 2391
2107, 1863, 2041
1886, 1895, 1876
1610, 1945, 1761
1255, 1964, 1494
1015, 2093, 1306
1161, 2003, 1457
1191, 1985, 1506
1118, 2025, 1381
1111, 2064, 1246
1262, 1998, 1271
1360, 2042, 1342
1648, 2039, 1729
1753, 2338, 2039
2073, 2466, 3121
2259, 2371, 4095
2175, 2204, 4095
2024, 1963, 4095
2137, 1967, 4095
2149, 1946, 4095
2110, 1851, 3374
2071, 1843, 2781
2096, 1851, 2322
1983, 1874, 2015
1761, 1911, 1813
1515, 1959, 1729
1307, 2010, 1623
1148, 2069, 1648
1125, 2016, 1607
1291, 1975, 1615
1267, 1967, 1503
1227, 1965, 1397
1276, 1931, 1254
1338, 1983, 1270
1673, 2007, 1662
1833, 2187, 1965
2154, 2240, 2802
2431, 2224, 3810
2523, 2159, 4095
2513, 2026, 4095
2454, 1961, 4095
2346, 1892, 4095
2215, 1915, 3824
2185, 1842, 3203
2110, 1867, 2799
2017, 1877, 2486
1909, 1893, 2251
1843, 1941, 2111
1687, 1981, 1907
1469, 2005, 1697
1287, 2019, 1520
1274, 2085, 1501
1534, 2002, 1474
1653, 1945, 1526
1507, 2011, 1475
1421, 2039, 1424
1454, 2077, 1430
1629, 2031, 1751
1841, 2103, 2043
1969, 2279, 2576
2203, 2309, 3958
2255, 2188, 4095
2017, 2020, 4095
1872, 1908, 4095
1857, 1947, 4095
